id,fonds,Numero_inventaire,Classement_thematique,Type_document,ISSN,ISBN,Auteur1,Fonction1,Auteur2,Fonction2,Auteur3,Fonction3,Auteur4,Fonction4,Auteur5,Fonction5,Auteur6,Fonction6,Titre,Titre_moderne,Sous_titre,Lieu_edition1,Lieu_edition2,Editeur1,Editeur2,Adresse_editeur1,Adresse_editeur2,Collection,Annee_edition,Numero_edition,Tome,Numero_de_volume,Nb_volumes,Nb_Pages,Format,Privileges_royaux_et_date_approbation,Ex_libris,Lien_hypertexte,Illustrations,Notes,Provenance,Disponible,Emprunteur,Date_emprunt,Financement
,ancien,1,AI1,OUVRAGE,,,BELIME William,Auteur,,,,,,,,,,,"Philosophie du droit, ou cours d'introduction à la science du droit",,,Paris,,"A. Durand, libraire",,"rue des Grès-Sorbonne, 7, près le Panthéon",,,1856,2e édition,Tome 1,,2,548,in-8,,,https://books.google.fr/books?id=77D3S83HsicC&hl=fr&pg=PA1#v=onepage&q&f=false,,,Bibliothèque Renardet,OUI,,,
,ancien,2,AI1,OUVRAGE,,,BELIME William,Auteur,,,,,,,,,,,"Philosophie du droit, ou cours d'introduction à la science du droit",,,Paris,,"A. Durand, libraire",,"rue des Grès-Sorbonne, 7, près le Panthéon",,,1856,2e édition,Tome 2,,2,718,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,3,AI2,OUVRAGE,,,SCHILTER Jean,Auteur,,,,,,,,,,,"Manuductio philosophiae moralis, ad veram nec simulatam jurisprudentiam… Dissertationes duae de jure hospice et tertio de disciplina pythagorea",,,Ienae (Iena),,sumptibus Bielkianis,,,,,1676,,,,1,[X]-588-index-476-index,in-8,,,https://books.google.fr/books?id=_kRhAAAAcAAJ&printsec=frontcover&hl=fr#v=onepage&q&f=false,oui,,Bibliothèque Villequez,OUI,,,
,ancien,4,AI3,OUVRAGE,,,AGRIPPA Henricus Cornelius,Auteur,,,,,,,,,,,De incertitudine et vanitate omnium scientirarum et artium…,,,s.l.,,s.n.,,,,,1622,,,,1,s.p.,in-12,,,https://books.google.fr/books?id=mFXOe1s-PAEC&dq=AGRIPPA%20De%20incertitudine%20et%20vanitate%20omnium%201622&hl=fr&pg=PT1#v=onepage&q=AGRIPPA%20De%20incertitudine%20et%20vanitate%20omnium%201622&f=false,oui,,,OUI,,,
,ancien,5,AI4,OUVRAGE,,,STRUVE Burcard Gotthelf,Auteur,,,,,,,,,,,"Historia juris romani justifiant, gracie, germanici, feudalis, criminalis et publici… Prolegomena de script oribus historiae juris…",,,Ienae (Iena),,apud viduam Mayeri,,,,,1718,,,,1,[XII]-68-860-index,in-4,,,https://books.google.fr/books?id=mFXOe1s-PAEC&dq=AGRIPPA%20De%20incertitudine%20et%20vanitate%20omnium%201622&hl=fr&pg=PT1#v=onepage&q=AGRIPPA%20De%20incertitudine%20et%20vanitate%20omnium%201622&f=false,oui,,Bibliothèque Villequez,OUI,,,
,ancien,6,AI5,OUVRAGE,,,SIMON Denis,Auteur,,,,,,,,,,,Nouvelle bibliothèque historique et chronologique des principaux auteurs… depuis Irnerius…,,,Paris,,chez Robert Pepie,,"rue Saint Jacques, au Grand Saint Basile",,,1692,,,,1,préf.-390,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,7,AI6,OUVRAGE,,,TAISAND Pierre,Auteur,,,,,,,,,,,Les vies des plus célèbres jurisconsultes de toutes les nations… tirées des meilleurs auteurs… au nombre de près de cinq cents,,,Paris,,chez L. Sevestre,,"rue des Amandiers, au Mont S. Hilaire",,,1721,,,,1,[XXVI]-582,in-4,,,http://gallica.bnf.fr/ark:/12148/bpt6k119092r,oui,,Bibliothèque Villequez,OUI,,,
,ancien,8,AI7,OUVRAGE,,,FERGUSON Adam,Auteur,,,,,,,,,,,Essai sur l'histoire de la société civile. Traduit de l'anglais par Bergier,,,Paris,,"chez la Veuve Desaint, libraire",,rue du Foin Saint-Jacques,,,1783,,Tome 2,,2,413,in-8,,,https://books.google.fr/books?id=7EYuQXIogeEC&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,oui,,Bibliothèque Villequez,OUI,,,
,ancien,9,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 1,,7,430,in-8,,,https://books.google.fr/books?id=8-U4AQAAMAAJ&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,Bibliothèque Villequez,OUI,,,
,ancien,10,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 2,,7,362,in-8,,,https://books.google.fr/books?id=C-Y4AQAAMAAJ&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,Bibliothèque Villequez,OUI,,,
