id,fonds,Numero_inventaire,Type_document,ISSN,ISBN,Auteur1,Fonction1,Auteur2,Fonction2,Auteur3,Fonction3,Auteur4,Fonction4,Auteur5,Fonction5,Auteur6,Fonction6,Titre,Sous_titre,Lieu_edition,Editeur,Collection,Annee_edition,Tome,Nb_Pages,Notes,Disponible,Emprunteur,Date_emprunt,financement
,moderne,3000,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1845,1,520,Tome 1 : A.-AS.,OUI,,,
,moderne,3001,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1845,2,501,Tome 2 : AS.-CAR.,OUI,,,
,moderne,3002,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,3,567,Tome 3 : CAS.-COM.,OUI,,,
,moderne,3003,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,4,567,Tome 4 : COM.-CUV.,OUI,,,
,moderne,3004,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,5,555,Tome 5 : D.,OUI,,,
,moderne,3005,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,6,569,Tome 6 : E.-EV.,OUI,,,
,moderne,3006,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1847,7,620,Tome 7 : EX.-F.,OUI,,,
,moderne,3007,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1848,8,596,Tome 8 : G.-J.,OUI,,,
,moderne,3008,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,9,563,Tome 9 : K.-O.,OUI,,,
,moderne,3009,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,10,549,Tome 10 : P.-Q.,OUI,,,
,moderne,3010,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,11,649,Tome 11 : R.-S.,OUI,,,
,moderne,3011,REVUE,,,D'AUVILLIERS M.,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,12,606,Tome 12 : T.-Z.,OUI,,,
